"Timestamp","Platform","Pizzas [1]","Pizzas [2]","Pizzas [3]","Extra Topping","Preparation Time (Minutes)"
"2023/06/30 5:29:15 pm EEST","Uber","Margie;Champ","","","","18"
"2023/06/30 5:31:50 pm EEST","Window","Margie;Vegan Harvest;Mushroom Cloud","","","","15"
"2023/06/30 5:33:16 pm EEST","Uber","Margie","","","","19"
"2023/06/30 5:50:27 pm EEST","Window","Vegan Harvest","","","Half mish","15"
"2023/06/30 5:52:58 pm EEST","Window","Champ;Mushroom Cloud","","","","15"
"2023/06/30 6:10:28 pm EEST","Collect","Champ;Mish-Mash","","","","15"
"2023/06/30 6:12:39 pm EEST","Uber","Spud","","","","15"
"2023/06/30 6:12:59 pm EEST","Uber","Champ","","","","16"
"2023/06/30 6:22:42 pm EEST","Uber","Spud","","","Extra spicey","12"
"2023/06/30 6:23:35 pm EEST","Uber","Champ;Pig n Paradise;Mish-Mash;Spud","","","","18"
"2023/06/30 6:24:51 pm EEST","Uber","Margie;Champ;Sausage Party","","","","16"
"2023/06/30 6:34:22 pm EEST","Uber","Champ;Vegan Harvest","","","No baby marrows, add mushroom instead",""
"2023/06/30 6:40:19 pm EEST","Bolt","Mushroom Cloud;Spud","","","","14"
"2023/06/30 6:40:54 pm EEST","Uber","Margie;Champ;Mushroom Cloud","","","","16"
"2023/06/30 6:43:44 pm EEST","Uber","Margie;Champ;Pig n Paradise","","","","18"
"2023/06/30 6:46:23 pm EEST","Uber","Margie;Champ;Spud","","","","22"
"2023/06/30 6:47:05 pm EEST","Window","Champ;Mish-Mash","","","","15"
"2023/06/30 6:50:15 pm EEST","Collection","Pig n Paradise","","","Extra mushroom","15"
"2023/06/30 6:51:04 pm EEST","Uber","Pig n Paradise;Mish-Mash;Poppa's","","","","22"
"2023/06/30 6:51:51 pm EEST","Uber","Margie;Mish-Mash","","","","21"
"2023/06/30 6:52:51 pm EEST","Uber","Champ","Champ","","","21"
"2023/06/30 6:54:05 pm EEST","Uber","Mushroom Cloud","","","","18"
"2023/06/30 6:54:35 pm EEST","Uber","Mushroom Cloud","","","","17"
"2023/06/30 6:56:54 pm EEST","Uber","Champ;Pig n Paradise;Mish-Mash","Vegan Harvest","","","30"
"2023/06/30 6:58:17 pm EEST","Uber","Champ;Feisty Italian","","","","29"
"2023/06/30 7:03:06 pm EEST","Mr Delivery","Margie;Champ;Mish-Mash","Margie","","","37"
"2023/06/30 7:10:07 pm EEST","Collection","Margie;Champ;Pig n Paradise;Sausage Party","Margie","","","30"
"2023/06/30 7:13:05 pm EEST","Uber","Champ","","","","19"
"2023/06/30 7:17:15 pm EEST","Collect","Margie","","","","15"
"2023/06/30 7:22:11 pm EEST","Collect","Margie","","","Bacon in one margie, both crispy","30"
"2023/06/30 7:28:38 pm EEST","Window","Margie;Zesty Zucchini","","","Zovicho margie","30"
"2023/06/30 7:35:57 pm EEST","Mr Delivery","Mish-Mash;Poppa's;Build Your Own","","","","21"
"2023/06/30 7:43:15 pm EEST","Uber","Champ;Poppa's","","","","25"
"2023/06/30 8:00:19 pm EEST","Window","Pig n Paradise;Mushroom Cloud","","","","30"
"2023/06/30 9:09:55 pm EEST","Uber","Margie","","","","15"
"2023/06/30 9:10:59 pm EEST","Collection","Margie;Mushroom Cloud","","","Chilli on the side","15"
"2023/06/30 9:11:27 pm EEST","Uber","Champ;Pig n Paradise","","","","17"
"2023/06/30 9:11:55 pm EEST","Window","Margie;Champ;Mish-Mash","Margie","","","14"
"2023/06/30 9:12:42 pm EEST","Uber","Margie;Vegan Harvest;Spud","Margie","","","13"
"2023/06/30 9:13:18 pm EEST","Uber","Margie;Mushroom Cloud","Margie;Mushroom Cloud","","","10"
"2023/06/30 9:16:09 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/01 12:42:31 pm EEST","Window","Pig n Paradise;Mish-Mash","Mish-Mash","","","15"
"2023/07/01 1:16:18 pm EEST","Uber","Spud","","","","15"
"2023/07/01 1:56:39 pm EEST","Uber","Champ;Mish-Mash","","","","16"
"2023/07/01 1:57:07 pm EEST","Uber","Champ;Mish-Mash","","","","15"
"2023/07/01 2:19:54 pm EEST","Window","Margie","","","","15"
"2023/07/01 3:20:21 pm EEST","Window","Margie;Pig n Paradise;Feisty Italian;Poppa's","","","","15"
"2023/07/01 3:22:10 pm EEST","Uber","Champ","","","","15"
"2023/07/01 3:24:02 pm EEST","Window","Margie;Feisty Italian","","","","14"
"2023/07/01 3:27:49 pm EEST","Window","Vegan Harvest","","","No olives onion ","10"
"2023/07/01 3:51:19 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","","15"
"2023/07/01 5:16:11 pm EEST","Window","Pig n Paradise;Spud","","","","15"
"2023/07/01 5:28:51 pm EEST","Mr Delivery","Margie","","","","16"
"2023/07/01 5:43:21 pm EEST","Uber","Pig n Paradise;Mish-Mash;Sausage Party","","","","19"
"2023/07/01 5:58:47 pm EEST","Window","Pig n Paradise;Mushroom Cloud","","","","15"
"2023/07/01 6:26:15 pm EEST","Uber","Feisty Italian","","","","17"
"2023/07/01 6:31:05 pm EEST","Window","Champ","","","Add chorivos","10"
"2023/07/01 6:37:58 pm EEST","Uber","Pig n Paradise;Vegan Harvest;Mushroom Cloud","","","","20"
"2023/07/01 6:48:20 pm EEST","Uber","Champ","","","","20"
"2023/07/01 6:55:12 pm EEST","Collect","Margie;Vegan Harvest","","","","15"
"2023/07/01 7:00:58 pm EEST","Collect","Sausage Party","","","","10"
"2023/07/01 7:06:41 pm EEST","","Margie;Champ","Margie","Margie","Onion, olives margie..no parmesan","15"
"2023/07/01 7:10:38 pm EEST","Uber","Mish-Mash","","","","18"
"2023/07/01 7:21:20 pm EEST","Uber","Mushroom Cloud;Spud","","","","17"
